Chr01	1	10000000	0.406313
Chr01	10000001	20000000	0.403021
Chr01	20000001	30000000	0.400263
Chr01	30000001	40000000	0.402467
Chr01	40000001	50000000	0.402408
Chr01	50000001	60000000	0.40318
Chr01	60000001	70000000	0.403269
Chr01	70000001	80000000	0.403745
Chr01	80000001	90000000	0.405566
Chr01	90000001	100000000	0.402673
Chr01	100000001	110000000	0.404601
Chr01	110000001	120000000	0.404953
Chr01	120000001	130000000	0.403164
Chr01	130000001	140000000	0.405927
Chr01	140000001	150000000	0.408557
Chr01	150000001	160000000	0.409075
Chr01	160000001	168845322	0.414305
Chr02	1	10000000	0.406631
Chr02	10000001	20000000	0.400283
Chr02	20000001	30000000	0.401926
Chr02	30000001	40000000	0.404359
Chr02	40000001	50000000	0.406114
Chr02	50000001	60000000	0.40252
Chr02	60000001	70000000	0.401789
Chr02	70000001	80000000	0.404752
Chr02	80000001	90000000	0.401812
Chr02	90000001	100000000	0.406678
Chr02	100000001	110000000	0.407182
Chr02	110000001	120000000	0.405809
Chr02	120000001	130000000	0.409086
Chr02	130000001	140000000	0.409294
Chr02	140000001	145740238	0.4126
Chr03	1	10000000	0.408732
Chr03	10000001	20000000	0.409276
Chr03	20000001	30000000	0.407367
Chr03	30000001	40000000	0.411225
Chr03	40000001	50000000	0.402904
Chr03	50000001	60000000	0.405968
Chr03	60000001	70000000	0.39943
Chr03	70000001	80000000	0.405015
Chr03	80000001	90000000	0.399094
Chr03	90000001	100000000	0.401519
Chr03	100000001	110000000	0.405438
Chr03	110000001	120000000	0.408147
Chr03	120000001	130000000	0.400776
Chr03	130000001	140000000	0.406079
Chr03	140000001	140488985	0.405138
Chr04	1	10000000	0.410493
Chr04	10000001	20000000	0.4112
Chr04	20000001	30000000	0.411123
Chr04	30000001	40000000	0.406473
Chr04	40000001	50000000	0.406797
Chr04	50000001	60000000	0.408348
Chr04	60000001	70000000	0.409497
Chr04	70000001	80000000	0.407203
Chr04	80000001	90000000	0.402831
Chr04	90000001	100000000	0.40121
Chr04	100000001	110000000	0.405181
Chr04	110000001	120000000	0.403433
Chr04	120000001	130000000	0.400692
Chr04	130000001	137129076	0.397605
Chr05	1	10000000	0.414459
Chr05	10000001	20000000	0.411715
Chr05	20000001	30000000	0.405396
Chr05	30000001	40000000	0.405062
Chr05	40000001	50000000	0.402015
Chr05	50000001	60000000	0.408864
Chr05	60000001	70000000	0.408404
Chr05	70000001	80000000	0.406563
Chr05	80000001	90000000	0.404176
Chr05	90000001	100000000	0.404935
Chr05	100000001	110000000	0.407231
Chr05	110000001	120000000	0.404778
Chr05	120000001	130000000	0.405391
Chr05	130000001	135293608	0.399376
Chr06	1	10000000	0.400881
Chr06	10000001	20000000	0.403152
Chr06	20000001	30000000	0.401796
Chr06	30000001	40000000	0.405673
Chr06	40000001	50000000	0.403037
Chr06	50000001	60000000	0.408917
Chr06	60000001	70000000	0.405604
Chr06	70000001	80000000	0.40891
Chr06	80000001	90000000	0.408375
Chr06	90000001	100000000	0.40433
Chr06	100000001	110000000	0.404329
Chr06	110000001	120000000	0.411246
Chr06	120000001	123901946	0.412455
Chr07	1	10000000	0.403717
Chr07	10000001	20000000	0.397196
Chr07	20000001	30000000	0.402369
Chr07	30000001	40000000	0.404017
Chr07	40000001	50000000	0.403413
Chr07	50000001	60000000	0.402106
Chr07	60000001	70000000	0.40298
Chr07	70000001	80000000	0.405388
Chr07	80000001	90000000	0.399569
Chr07	90000001	100000000	0.405542
Chr07	100000001	110000000	0.408514
Chr07	110000001	120000000	0.407246
Chr07	120000001	123686240	0.416155
Chr08	1	10000000	0.399569
Chr08	10000001	20000000	0.404511
Chr08	20000001	30000000	0.40242
Chr08	30000001	40000000	0.403754
Chr08	40000001	50000000	0.399232
Chr08	50000001	60000000	0.403525
Chr08	60000001	70000000	0.398047
Chr08	70000001	80000000	0.402979
Chr08	80000001	90000000	0.405729
Chr08	90000001	100000000	0.404808
Chr08	100000001	110000000	0.410197
Chr08	110000001	120000000	0.41116
Chr08	120000001	122988935	0.41512
Chr09	1	10000000	0.407391
